date,instrument,signal,weight,label,contribution
2018-01-02,SH600606,0.9193840195403882,0.011764705882352941,0.2302798,0.002709174156188965
2018-01-02,SZ000001,0.78999781363647,0.011529411764705882,-0.045255423,-0.0005217684016508215
2018-01-02,SH600028,0.6742168137898001,0.011294117647058823,0.09890127,0.0011170025993795954
2018-01-02,SH600383,0.6513645984763399,0.011058823529411763,0.14544141,0.001608410919413847
2018-01-02,SZ300251,0.6133028344096794,0.010823529411764706,-0.009963691,-0.00010784230512731216
2018-01-02,SH601225,0.5691636132238034,0.010588235294117647,0.08013952,0.0008485360706553739
2018-01-02,SH601688,0.4879334813714603,0.010352941176470587,0.09267473,0.0009594560510971966
2018-01-02,SH601628,0.4801062757103989,0.010117647058823528,-0.007871449,-7.964054275961482e-05
2018-01-02,SZ002475,0.4742237086262065,0.009882352941176469,0.04555285,0.00045016933889950014
2018-01-02,SZ000559,0.4312801957451208,0.009647058823529411,0.011857748,0.00011439239277559167
2018-01-02,SH600585,0.4283315071393888,0.009411764705882352,0.044430733,0.0004181716021369485
2018-01-02,SZ002460,0.4075013864807666,0.009176470588235295,0.011392236,0.00010454051634844612
2018-01-02,SH601998,0.4044808198699069,0.008941176470588235,0.025316477,0.00022635908687815946
2018-01-02,SH600519,0.3842807365595919,0.008705882352941176,0.11177111,0.0009730661055620979
2018-01-02,SZ002153,0.3784881676071743,0.008470588235294117,-0.053728223,-0.0004551096523509306
2018-01-02,SH600111,0.3778160326746211,0.008235294117647058,0.033085704,0.00027247050229240865
2018-01-02,SZ000671,0.3692482898590878,0.008,0.05186963,0.0004149570465087891
2018-01-02,SZ002555,0.3463131658285462,0.007764705882352941,-0.011391997,-8.84555087370031e-05
2018-01-02,SH600570,0.3395740079257221,0.007529411764705882,-0.006934285,-5.2211088292738963e-05
2018-01-02,SZ002241,0.328809051414984,0.007294117647058823,-0.021940053,-0.00016003332418553968
2018-01-02,SZ002236,0.3185190450615818,0.007058823529411764,0.03494394,0.0002466630935668945
2018-01-02,SZ002065,0.3093216364620489,0.006823529411764705,-0.011890531,-8.113538517671472e-05
2018-01-02,SZ002831,0.304813479342547,0.006588235294117647,0.012568831,8.280641892377068e-05
